"Identifiant opération";"Localisation station de mesure";"Code station";"X";"Y";"Identifiant point prélèvement";"Date réalisation";"Débit mesuré (m3/s)";"Débit station hydro (m3/s)";"Distance interpoint (m)";"Largeur plein bord évaluée (m)";"Largeur mouillée évaluée (m)";"Longueur réelle opération (m)";"Longueur théorique opération (m)";"Pente ligne d'eau (‰)";"Pente ligne d'eau évaluée";"Description habitat marginaux";"Continuité ripisylve rive gauche";"Continuité ripisylve rive droite";"Nom réseau de mesure";"Observations";"Version protocole";"Structure responsable";"Cours d'eau";"Nombre transect";"D16 (mm)";"D50 (mm)";"D84 (mm)";"Indice Folk et Ward";"Indice Fredle";"Surface mouillée Q1 (m2)";"Largeur mouillée Q1 (m)";"Périmètre mouillé Q1 (m)";"Profondeur maximum Q1 (m)";"Profondeur moyenne Q1 (m)";"Rayon hydraulique Q1";"Rapport largeur/Profondeur Q1";"Coefficient rugosité";"Surface mouillée Qb (m2)";"Largeur mouillée Qb (m)";"Périmètre mouillé Qb (m)";"Profondeur maximum Qb (m)";"Profondeur moyenne Qb (m)";"Rayon hydraulique Qb";"Rapport largeur/Profondeur Qb";"Force tractrice Qb  (N/m2)";"Débit plein bord (m3/s)";"Ecart type cote point";"Coefficient variation cote point";"Ecart type cote point en eau";"Coefficient variation cote point en eau";"Ecart type largeur mouillée Qb";"Coefficient variation largeur mouillée Qb";"Vitesse moyenne Qb (m/s)";"Ligne énergie Qb (m)";"Cote ligne énergie Qb";"Nombre de Froude Qb";"Puissance spécifique Qb (w/m2)";"Nombre de mouille";"Profondeur moyenne des mouilles (m)";"Nombre de berges total";"Nombre de berges artificialisées";"Score ripisylve";"Classe ripisylve";"% fines";"% graviers-cailloux";"% blocs-rochers";"Indice de Shannon granulo";"Surface BV (km2)";"Proportion de roche imperméable BV";"Code HER ou DOM dominant";"Nom HER ou DOM dominant";"Type DOM";"Coefficient de sinuosité";"Débit Q01 RHT (m3/s)";"Puissance Q01 RHT (w/m)";"Puissance spécifique Q01 RHT (w/m2)";"Station référence modèle";"Résidu modèle Largeur mouillée Qb";"Résidu modèle rapport largeur/profondeur Qb";"Résidu modèle profondeur mouilles";"Résidu modèle profondeur Qb";"Résidu modèle pente ligne d'eau";"Résidu modèle surface mouillée Qb";"Résidu standardisé modèle largeur mouillée Qb";"Résidu standardisé modèle rapport largeur/profondeur Qb";"Résidu standardisé modèle profondeur mouilles";"Résidu standardisé modèle profondeur Qb";"Résidu standardisé modèle pente ligne d'eau";"Résidu standardisé modèle surface mouillée Qb";"IMG";"Modèle référence IMG";"Classe écart IMG"
34;"LA CLÉRY A SAINT-LOUP-DE-GONOIS 1";"03053310";691804;6773631;78140;2009-08-06;0,36;NA;1,41;11,67;9,9;163;163,38;2;NA;"";"semi-continue";"semi-continue";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Clery";15;21;34,5;45,16;0,596;24,289;2,452;9,164;9,287;0,421;0,271;0,267;23,302;7,913;7,863;11,396;11,776;0,937;0,693;0,67;12,34;13,139;2,13;0,36;0,004;0,132;0,485;1,664;0,146;0,276;0,941;100,357;0,107;3,742;5;0,11;30;1;0,541;3;43,564;56,436;0;1,83;186,33;0,157;9;"TABLES CALCAIRES";0;1,15;4,423;86,779;7,615;0;0,067;0,5;-0,663;-0,451;0,108;-0,279;0,257;1,312;-1,406;-1,326;0,134;-0,616;5,052;"TABLES CALCAIRES";"faible"
35;"L'YERRES A COURTOMER 1";"03078110";692846;6838818;100310;2009-09-24;0,017;0,003;1,1;13;8;182;182;0,3;NA;"";"isolée";"bosquets éparses";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Yerres";15;8;17;43,48;1,249;10,336;1,391;6,235;6,307;0,301;0,198;0,196;27,754;2,094;23,592;12,952;14,721;2,493;1,82;1,599;5,211;4,707;1,17;0,963;0,01;0,172;0,783;0,937;0,072;0,05;2,493;102,165;0,012;0,267;2;0,305;30;1;0,115;4;45,977;44,828;9,195;1,91;416,52;0;9;"TABLES CALCAIRES";0;1,1;23,303;68,581;5,295;0;-0,05;-0,438;0,269;0,36;-1,443;0,396;-0,192;-1,15;0,569;1,059;-1,791;0,875;5,636;"TABLES CALCAIRES";"faible"
37;"LA SOMME-SOUDE A CHAINTRIX-BIERGES 1";"03104450";782588;6865966;102051;2009-07-15;0,42;NA;1,1;13;7,76;182;182;0,9;NA;"";"semi-continue";"semi-continue";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Somme soude";15;6,68;14;24;1,122;8,714;2,236;7,109;7,272;0,511;0,319;0,311;15,63;13,647;13,693;10,726;11,627;1,737;1,278;1,177;6,239;10,393;6,25;0,68;0,007;0,198;0,618;1,361;0,127;0,466;1,749;101,155;0,132;5,231;4;0,194;30;3;0,541;3;30,769;58,654;10,577;2,212;335,51;0;9;"TABLES CALCAIRES";0;1,1;8,755;77,298;7,206;0;-0,173;-0,238;-0,163;0,044;-0,437;-0,034;-0,661;-0,624;-0,346;0,13;-0,543;-0,075;2,378;"TABLES CALCAIRES";"tres faible"
38;"LE GRAND MORIN A TIGEAUX 1";"03118300";701023;6857539;78456;2009-08-20;1,065;1,64;2,7;22;19;308;308;4,3;NA;"Ancien bras de moulin déconnecté à l'amont et fermé par un seuil à son aval (pour garder des truites !)";"semi-continue";"bosquets éparses";NA;"Le nom ""onema"" de la station est : le Grand Morin à Pommeuse
Plusieurs transects (6) n'ont pu être réalisés en raison de la profondeur trop importante du chenal
La station Carhyce est beaucoup plus longue que la station pêche (60 à 70 m en plus)";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Grand morin";8;11,84;26,5;64,16;1,213;15,565;8,38;17,922;18,176;0,694;0,48;0,472;31,865;3,197;50,227;23,178;25,034;2,724;2,17;2,008;8,61;84,695;16,76;1,081;0,011;0,292;0,633;1,828;0,079;0,336;2,73;101,705;0,073;30,674;3;0,142;16;2;NA;3;14,815;42,593;42,593;2,073;771,38;0;9;"TABLES CALCAIRES";0;1,12;20,202;852,181;36,766;0;0,344;0,005;-0,563;0,32;1,484;0,828;1,315;0,014;-1,193;0,941;1,843;1,826;7,132;"TABLES CALCAIRES";"moyen"
40;"L'ARONDE A CLAIROIX 1";"03133937";688789;6926982;78489;2009-06-05;0,834;NA;0,81;8,47;5,68;118;118,58;0,7;NA;"";"bosquets éparses";"semi-continue";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Aronde";15;17;37,5;74,32;1,012;20,165;2,798;6,391;6,773;0,635;0,444;0,417;10,985;20,174;12,641;9,47;10,806;1,881;1,363;1,183;5,103;8,125;7,548;0,767;0,008;0,192;0,436;1,997;0,211;0,612;1,901;101,224;0,169;5,712;4;0,095;30;1;0,487;3;59,016;38,525;2,459;1,814;281,47;0;9;"TABLES CALCAIRES";0;1,15;4,508;30,956;3,269;0;-0,244;-0,422;-0,862;0,16;-0,764;-0,021;-0,933;-1,107;-1,827;0,472;-0,949;-0,047;5,334;"TABLES CALCAIRES";"faible"
41;"L'ESCHES A BORNEL 1";"03138390";641913;6900352;104178;2009-08-27;0,35;NA;0,7;10;5,5;140;140;3;NA;"";"bosquets éparses";"bosquets éparses";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Esches";16;6,84;19;34,32;1,193;9,603;1,408;5,642;5,774;0,356;0,248;0,242;16,009;11,682;9,398;9,046;10,148;1,435;1,048;0,932;6,29;27,443;5,74;0,609;0,006;0,103;0,424;1,848;0,204;0,631;1,456;100,875;0,197;19,498;5;0,063;32;0;0,087;4;25,62;70,248;4,132;1,932;105,2;0;9;"TABLES CALCAIRES";0;1,08;1,606;47,265;5,225;0;0,011;-0,12;-1,165;0,095;0,268;0,2;0,042;-0,313;-2,469;0,28;0,333;0,441;3,877;"TABLES CALCAIRES";"tres faible"
42;"L'AISNE A LISLE-EN-BARROIS 1";"03145290";852643;6869963;104610;2009-06-16;0,08;NA;0,75;10,9;5,2;160;152,6;6,3;NA;"";"continue";"continue";NA;"cours d'eau méandrant dans une pâture.

Qualif incertaine
Fiche terrain non retrouvée en 2016.
Nombre de points trop faible transect 4.

";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Aisne";15;30,68;46,5;67;0,567;35,603;0,779;4,984;5,114;0,294;0,16;0,155;20,278;4,487;12,602;9,986;11,298;1,825;1,262;1,11;5,513;68,625;4,813;0,728;0,007;0,123;0,783;1,809;0,181;0,396;1,834;101,059;0,113;30,655;5;0,114;30;0;0,65;3;15,079;65,873;19,048;1,776;42,17;0;9;"TABLES CALCAIRES";0;1,02;5,624;347,58;34,807;0;0,389;-0,164;-0,473;0,527;0,617;0,974;1,488;-0,431;-1,002;1,548;0,766;2,149;7,385;"TABLES CALCAIRES";"moyen"
43;"LE PETIT THÉRAIN A ACHY 1";"03163750";626290;6939180;105707;2009-06-10;0,822;NA;1,5;15,4;10,63;216;215,6;2;NA;"";"bosquets éparses";"espacée-régulière";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Petit therain";15;18;26,5;39,16;0,545;19,561;2,98;8,849;8,999;0,516;0,344;0,338;18,528;12,718;13,858;13,208;13,851;1,489;1,065;1,01;9,018;19,817;7,934;0,595;0,006;0,175;0,529;3,175;0,24;0,589;1,507;100,776;0,182;12,375;3;0,137;30;0;0,271;3;34,409;62,366;3,226;1,798;153,15;0;9;"TABLES CALCAIRES";0;1,18;2,677;52,523;3,977;0;0,275;0,205;-0,429;0,054;0,024;0,391;1,051;0,538;-0,909;0,158;0,03;0,862;3,548;"TABLES CALCAIRES";"tres faible"
44;"LE SAUSSERON A NESLES-LA-VALLEE 1";"03167000";639103;6892813;105885;2009-10-01;0,354;0,347;0,57;8;4;120;112;0,37;NA;"";"continue";"isolée";NA;"Pas de radier
Mesure du colmatage sur un plat (à peu près) courant
Colmatage par vases sur toute la station (épaisseur moyenne = 40 cm)";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Sausseron";16;NA;NA;NA;NA;NA;1,477;3,804;4,191;0,627;0,393;0,354;6,406;24,901;4,671;6,289;7,113;1,287;0,744;0,658;4,939;2,389;1,693;0,489;0,005;0,192;0,494;0,509;0,081;0,364;1,294;100,645;0,135;0,983;5;0,126;32;0;0,087;1;96,396;0,901;2,703;0,923;100,4;0;9;"TABLES CALCAIRES";0;1,05;0,979;3,553;0,565;0;-0,338;-0,357;-0,462;-0,004;-1,845;-0,475;-1,295;-0,936;-0,979;-0,012;-2,29;-1,048;6,559;"TABLES CALCAIRES";"moyen"
45;"LE RUISSEAU DU LIEUTEL A NEAUPHLE-LE-VIEUX 1";"03168690";615134;6857608;78621;2009-07-01;0,041;NA;0,35;5,8;2,6;80,7;81,2;1,5;NA;"";"bosquets éparses";"semi-continue";NA;"Nom WAMA de la station = le Lieutel à Vicq
Pas de radier : plat courant de 5m de long avec présence de sédiments fins.";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Lieutel";15;5,84;11;26,16;1,031;7,174;0,489;2,388;2,57;0,331;0,207;0,189;8,392;6,576;5,162;5,249;6,529;1,563;0,988;0,792;3,369;11,65;1,125;0,588;0,006;0,132;0,645;0,645;0,123;0,221;1,565;101,174;0,072;3,199;5;0,113;30;0;0,101;1;78,846;19,231;1,923;1,646;67,98;0;9;"TABLES CALCAIRES";0;1,1;1,413;20,792;3,961;0;-0,4;-0,702;-0,533;0,272;-0,613;-0,17;-1,531;-1,842;-1,131;0,798;-0,761;-0,374;6,437;"TABLES CALCAIRES";"moyen"
46;"LA VAUCOULEURS A VILLETTE 2";"03171880";604223;6870621;106199;2009-08-18;0,204;NA;0,75;10,2;5,33;145;142,8;2,8;NA;"";"semi-continue";"bosquets éparses";NA;"Batonnet B1-B perdu";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Vaucouleurs";15;16,84;48;80,64;1,227;21,624;1,407;4,834;5,11;0,423;0,289;0,271;12,753;6,544;15,302;9,342;11,448;2,389;1,658;1,343;3,9;36,887;6,449;0,953;0,009;0,16;0,546;2,1;0,225;0,43;2,399;101,776;0,107;19,62;3;0,152;30;12;0,487;3;30,392;36,275;33,333;2,193;158,68;0;9;"TABLES CALCAIRES";0;1,04;2,148;59,001;6,316;0;-0,082;-0,636;-0,327;0,519;0,376;0,471;-0,315;-1,669;-0,694;1,526;0,466;1,039;5,71;"TABLES CALCAIRES";"faible"
47;"LA RIVIÈRE DE MÉSANGUEVILLE A DAMPIERRE-EN-BRAY 2";"03174695";603708;6937007;106339;2009-08-21;0,019;NA;0,7;8,4;4,8;118;117,6;0,89;NA;"";"continue";"isolée";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Mesangueville";15;21,68;47,5;87;1,029;28,232;1,482;4,126;4,416;0,523;0,343;0,315;13,831;0,929;6,233;6,055;7,052;1,443;1,036;0,88;4,402;7,685;0,159;0,689;0,007;0,277;0,788;0,98;0,162;0,027;1,443;100,868;0,009;0,236;3;0,385;30;5;0,087;1;81;15;4;1,751;57,64;0;9;"TABLES CALCAIRES";0;1,06;0,697;6,085;1,005;0;-0,207;-0,419;0,71;0,227;-1,206;0,106;-0,792;-1,099;1,505;0,666;-1,497;0,233;5,792;"TABLES CALCAIRES";"faible"
48;"LA BLAISE A SAINT-ANGE-ET-TORCAY 1";"03193520";567551;6840787;107485;2009-06-08;2,74;NA;1,1;11,17;7,93;156;156,38;1,69;NA;"";"continue";"continue";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Blaise";15;30;51,5;73,16;0,678;33,317;2,399;8,151;8,327;0,449;0,289;0,282;20,526;64,561;11,304;10,641;11,461;1,379;1,06;0,983;7,771;16,304;29,67;0,542;0,005;0,18;0,612;1,127;0,106;2,697;1,761;101,18;0,847;46,702;5;0,139;30;0;NA;1;23,684;73,684;2,632;2,056;196,91;1;9;"TABLES CALCAIRES";0;1,09;1,647;27,305;2,566;0;-0,018;0,032;-0,436;-0,075;-0,036;0,055;-0,069;0,085;-0,924;-0,222;-0,045;0,121;1,466;"TABLES CALCAIRES";"tres faible"
49;"L'AVRE A MONTIGNY-SUR-AVRE 1";"03194620";554420;6850125;107569;2009-06-26;0,332;NA;2,1;16,6;14,76;280;206,64;3,25;NA;"";"continue";"semi-continue";NA;"Etiage sévère.
Batonnet A2 disparu.";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Avre";18;30;53;74,16;0,624;35,995;2,979;12,633;12,751;0,392;0,229;0,227;35,091;5,257;12,884;17,072;17,578;1,052;0,751;0,73;16,362;23,273;3,13;0,522;0,005;0,14;0,602;2,218;0,13;0,251;1,055;100,205;0,093;5,946;5;0,145;36;2;0,595;3;23,2;74,4;2,4;1,974;415,25;0,97;9;"TABLES CALCAIRES";0;1,96;8,771;279,641;16,38;0;0,227;0,706;-0,476;-0,502;0,938;-0,207;0,868;1,852;-1,009;-1,476;1,165;-0,457;6,826;"TABLES CALCAIRES";"moyen"
50;"LE ROULOIR A CONCHES-EN-OUCHE 2";"03198530";552030;6876700;107686;2009-06-25;0,68;NA;1,1;8,6;7,7;165;120,4;3,2;NA;"";"semi-continue";"semi-continue";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Rouloir";20;20,84;41;74;0,977;25,349;3,008;7,066;7,347;0,57;0,401;0,384;12,802;7,56;6,368;8,44;8,991;1,002;0,733;0,687;8,486;21,551;2,119;0,522;0,005;0,196;0,464;2,1;0,249;0,405;1,014;100,182;0,159;8,649;3;0,299;40;6;0,541;3;27,82;61,654;10,526;2,181;262,05;0,976;9;"TABLES CALCAIRES";0;1,02;2,264;71,071;8,421;0;-0,337;0,093;0,298;-0,455;0,725;-0,67;-1,29;0,245;0,632;-1,337;0,9;-1,477;5,88;"TABLES CALCAIRES";"faible"
