"Identifiant opération";"Localisation station de mesure";"Code station";"X";"Y";"Identifiant point prélèvement";"Date réalisation";"Débit mesuré (m3/s)";"Débit station hydro (m3/s)";"Distance interpoint (m)";"Largeur plein bord évaluée (m)";"Largeur mouillée évaluée (m)";"Longueur réelle opération (m)";"Longueur théorique opération (m)";"Pente ligne d'eau (‰)";"Pente ligne d'eau évaluée";"Description habitat marginaux";"Continuité ripisylve rive gauche";"Continuité ripisylve rive droite";"Nom réseau de mesure";"Observations";"Version protocole";"Structure responsable";"Cours d'eau";"Nombre transect";"D16 (mm)";"D50 (mm)";"D84 (mm)";"Indice Folk et Ward";"Indice Fredle";"Surface mouillée Q1 (m2)";"Largeur mouillée Q1 (m)";"Périmètre mouillé Q1 (m)";"Profondeur maximum Q1 (m)";"Profondeur moyenne Q1 (m)";"Rayon hydraulique Q1";"Rapport largeur/Profondeur Q1";"Coefficient rugosité";"Surface mouillée Qb (m2)";"Largeur mouillée Qb (m)";"Périmètre mouillé Qb (m)";"Profondeur maximum Qb (m)";"Profondeur moyenne Qb (m)";"Rayon hydraulique Qb";"Rapport largeur/Profondeur Qb";"Force tractrice Qb  (N/m2)";"Débit plein bord (m3/s)";"Ecart type cote point";"Coefficient variation cote point";"Ecart type cote point en eau";"Coefficient variation cote point en eau";"Ecart type largeur mouillée Qb";"Coefficient variation largeur mouillée Qb";"Vitesse moyenne Qb (m/s)";"Ligne énergie Qb (m)";"Cote ligne énergie Qb";"Nombre de Froude Qb";"Puissance spécifique Qb (w/m2)";"Nombre de mouille";"Profondeur moyenne des mouilles (m)";"Nombre de berges total";"Nombre de berges artificialisées";"Score ripisylve";"Classe ripisylve";"% fines";"% graviers-cailloux";"% blocs-rochers";"Indice de Shannon granulo";"Surface BV (km2)";"Proportion de roche imperméable BV";"Code HER ou DOM dominant";"Nom HER ou DOM dominant";"Type DOM";"Coefficient de sinuosité";"Débit Q01 RHT (m3/s)";"Puissance Q01 RHT (w/m)";"Puissance spécifique Q01 RHT (w/m2)";"Station référence modèle";"Résidu modèle Largeur mouillée Qb";"Résidu modèle rapport largeur/profondeur Qb";"Résidu modèle profondeur mouilles";"Résidu modèle profondeur Qb";"Résidu modèle pente ligne d'eau";"Résidu modèle surface mouillée Qb";"Résidu standardisé modèle largeur mouillée Qb";"Résidu standardisé modèle rapport largeur/profondeur Qb";"Résidu standardisé modèle profondeur mouilles";"Résidu standardisé modèle profondeur Qb";"Résidu standardisé modèle pente ligne d'eau";"Résidu standardisé modèle surface mouillée Qb";"IMG";"Modèle référence IMG";"Classe écart IMG"
154;"ROMAINE A LE-PONT-DE-PLANCHES 1";"06003770";919536;6718920;144571;2009-07-02;NA;NA;0,9;8,33;6,25;116;116,62;5,29;NA;"";"semi-continue";"espacée-régulière";NA;"Débit non pris car pas de courant.
Beaucoup de granulométrie soudée.
A1 = Amont rive droite";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Romaine";16;6;20,5;59,8;1,717;9,001;2,514;5,933;6,327;0,624;0,398;0,373;10,653;3,485;15,392;8,48;10,531;2,368;1,802;1,437;3,552;74,565;4,968;0,955;0,01;0,278;0,681;3,167;0,373;0,358;2,375;101,42;0,086;32,954;4;0,226;32;8;NA;3;12,698;73,016;14,286;1,948;109,72;0;10;"COTES CALCAIRES EST";0;1,01;11,168;579,562;68,341;0;-0,13;-0,719;-0,147;0,543;0,896;0,542;-0,649;-2,761;-0,427;2,282;1,024;1,503;8,647;"COTES CALCAIRES EST";"fort"
155;"SALON A AUTET ";"06004000";902447;6719092;144643;2009-06-24;1,154;NA;2,4;19;17;266;266;1,75;NA;"";"semi-continue";"semi-continue";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Salon";14;20,84;36,5;54,8;0,711;23,957;7,127;12,696;13,075;0,832;0,583;0,553;28,213;5,743;32,317;19,498;20,543;2,332;1,708;1,605;9,177;27,548;10,642;1,009;0,01;0,531;0,935;4,535;0,233;0,339;2,338;101,29;0,085;9,761;3;0,521;28;4;0,115;1;13,043;79,71;7,246;1,898;425,11;0,003;10;"COTES CALCAIRES EST";0;1,33;33,995;583,609;29,932;0;0,239;0,106;0,321;0,192;-0,015;0,499;1,189;0,407;0,935;0,807;-0,018;1,382;4,739;"COTES CALCAIRES EST";"faible"
157;"TILLE A CHAMPDOTRE 1";"06013800";874466;6677680;145148;2009-10-05;0,973;NA;2,4;31;16,8;434;434;0,19;NA;"";"continue";"continue";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Tille";15;7;17,5;30;1,099;9,99;7,014;15,772;15,982;0,614;0,432;0,424;29,851;17,829;72,992;27,329;29,271;3,637;2,672;2,489;7,546;4,639;32,943;1,444;0,014;0,335;0,779;3,575;0,131;0,46;3,648;102,993;0,09;2,28;3;0,473;30;15;NA;4;6,481;87,037;6,481;1,648;1253,47;0,028;10;"COTES CALCAIRES EST";0;1,02;111,289;207,432;7,59;0;0,207;-0,189;-0,071;0,368;-2,08;0,686;1,03;-0,725;-0,207;1,549;-2,377;1,902;7,791;"COTES CALCAIRES EST";"fort"
158;"OUCHE A FLEUREY-SUR-OUCHE 1";"06014970";839498;6691676;145228;2009-08-06;1,112;NA;1,96;16,5;13,7;231;231;0;NA;"";"continue";"continue";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Ouche";15;15,84;30;55,8;1,012;21,086;5,465;10,456;10,838;0,752;0,518;0,497;18,538;NA;25,006;15,313;16,616;2,255;1,638;1,507;6,96;0;NA;0,932;0,009;0,309;0,56;1,44;0,094;NA;NA;NA;NA;NA;2;0,352;30;0;0,65;3;18,605;70,93;10,465;2,078;510,53;0,029;10;"COTES CALCAIRES EST";0;1,03;26,84;0;0;0;-0,065;-0,187;-0,122;0,113;NA;0,136;-0,324;-0,719;-0,356;0,474;NA;0,377;NA;"COTES CALCAIRES EST";NA
162;"GUYE A SIGY-LE-CHATEL ";"06040400";819803;6607641;146316;2009-07-23;0,46;NA;1,4;9,23;7,33;130;129,22;0,62;NA;"";"semi-continue";"continue";NA;"Radier A = radier aval. A1 = 1er baton en partant de la rive droite
Radier B = radier amont. B1 = 1er baton en partant de la rive droite";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Guye";15;19;32,5;102;1,172;22,563;2,987;6,409;6,794;0,693;0,456;0,428;11,516;10,896;13,952;10,347;11,755;2,036;1,354;1,189;5,225;7,232;4,248;0,826;0,008;0,289;0,626;1,323;0,128;0,314;2,041;101,308;0,088;2,53;2;0,52;30;2;0,595;3;34,043;57,447;8,511;1,959;270,89;0,368;10;"COTES CALCAIRES EST";0;1;15,634;95,089;9,19;0;-0,241;-0,416;0,44;0,168;-1,118;-0,08;-1,197;-1,598;1,282;0,706;-1,277;-0,222;6,281;"COTES CALCAIRES EST";"moyen"
222;"L'OZE A DARCEY 1";"03040250";815944;6716086;97843;2010-05-17;0,692;NA;1,08;9,3;7,55;130;NA;2,8;NA;"";"semi-continue";"semi-continue";NA;"Il manque un bâtonnet.
La pente de la ligne d'eau est issue des données IGN, pas des relevés de terrain.";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Oze";15;20,941;33,18;50,48;0,704;23,576;2,635;6,473;6,773;0,643;0,412;0,39;13,031;9,298;16,084;10,38;11,897;2,191;1,552;1,351;4,79;37,096;9,669;0,842;0,008;0,264;0,658;1,135;0,109;0,611;2,211;101,385;0,157;25,891;2;0,271;30;0;0,541;3;28,395;70,37;1,235;1,972;200,8;0;10;"COTES CALCAIRES EST";0;1,11;8,434;231,665;22,318;0;-0,135;-0,475;-0,128;0,316;0,347;0,236;-0,671;-1,826;-0,374;1,327;0,396;0,654;5,249;"COTES CALCAIRES EST";"faible"
223;"L'OURCE A AUTRICOURT 1";"03006590";820315;6768165;94035;2010-05-26;1,697;NA;2;20;14;280;NA;1,25;NA;"";"semi-continue";"semi-continue";NA;"Pas de bâtonnets retrouvés sur l'aval.";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Ource";15;8,84;21,5;37,16;1,017;10,774;6,553;12,769;13,052;0,787;0,518;0,505;18,359;11,551;31,07;20,582;21,583;2,199;1,527;1,454;9,455;17,824;16,282;0,802;0,008;0,292;0,571;4,01;0,195;0,533;2,214;101,252;0,138;9,986;3;0,259;30;0;0,39;4;13,265;74,49;12,245;2,169;572,23;0;10;"COTES CALCAIRES EST";0;1,18;46,496;570,157;27,702;0;0,192;0,109;-0,461;0,06;-0,309;0,287;0,953;0,418;-1,344;0,251;-0,353;0,796;4,114;"COTES CALCAIRES EST";"tres faible"
224;"NIEVRE à DOMPIERRE-SUR-NIEVRE";"04025040";718907;6681738;115870;2010-06-08;0,491;NA;0,9;7,33;6,3;102;NA;3,5;NA;"";"semi-continue";"semi-continue";NA;"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Nievre";15;9,84;21;45,32;1,068;12,517;1,442;7,38;7,497;0,34;0,212;0,207;27,324;16,448;6,188;9,417;9,902;0,888;0,671;0,632;11,178;21,707;4,436;0,326;0,003;0,123;0,629;3,051;0,324;0,756;0,919;100,399;0,295;17,541;4;0,068;30;0;0,541;3;9,091;88,636;2,273;1,825;130,5;0;10;"COTES CALCAIRES EST";0;1,06;5,082;174,49;18,53;0;-0,085;0,412;-1,4;-0,481;0,508;-0,469;-0,423;1,581;-4,083;-2,023;0,58;-1,301;9,991;"COTES CALCAIRES EST";"tres fort"
260;"L'ESCHE À MARTINCOURT (SAINT-JEAN)";"02076180";915193;6865280;90610;2010-05-17;0,4;NA;1,35;12,1;10;168;NA;2,17;NA;"";"bosquets éparses";"continue";NA;"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Esche";15;12;23;42,32;0,9;15,369;2,793;8,421;8,633;0,543;0,341;0,33;19,831;6,435;6,167;10,661;11,047;0,894;0,6;0,574;13,075;12,218;1,277;0,383;0,004;0,212;0,628;2,576;0,242;0,218;0,897;100,17;0,094;2,701;4;0,282;30;0;NA;2;28,571;65,306;6,122;2,214;129,75;0;10;"COTES CALCAIRES EST";0;1,07;7,366;156,805;14,708;0;0,041;0,569;0,028;-0,473;0,029;-0,469;0,204;2,186;0,081;-1,988;0,033;-1,301;5,793;"COTES CALCAIRES EST";"faible"
276;"AMANCE A MAIZIERES-SUR-AMANCE ";"06001180";896770;6750896;170988;2010-08-04;0,07;NA;0,9;10;6,4;140;NA;0,04;NA;"";"bosquets éparses";"bosquets éparses";NA;"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Amance";15;17;28;49,12;0,886;21,482;1,672;4,524;4,804;0,538;0,365;0,339;12,411;13,608;21,511;10,786;13,241;3,133;2,002;1,623;3,447;0,637;2,556;1,227;0,012;0,213;0,541;0,925;0,086;0,12;3,133;102,593;0,027;0,094;4;0,252;30;0;0,26;2;70,588;27,941;1,471;1,642;325,22;0;10;"COTES CALCAIRES EST";0;1,15;29,295;11,495;1,066;0;-0,261;-0,848;-0,334;0,553;-3,832;0,247;-1,301;-3,259;-0,973;2,328;-4,379;0,685;12,924;"COTES CALCAIRES EST";"tres fort"
277;"LA MEUSE À GONCOURT";"02106600";894113;6796854;92320;2010-08-05;NA;0,3;1,2;14,4;8,1;200;NA;0,08;NA;"";"bosquets éparses";"bosquets éparses";NA;"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Meuse";15;12,84;36;81,16;1,157;15,191;2,8;8,855;9,025;0,477;0,311;0,304;21,136;26,486;19,569;15,346;16,323;1,811;1,274;1,195;8,526;0,938;5,22;0,659;0,007;0,186;0,597;3,066;0,2;0,278;1,815;101,329;0,079;0,275;4;0,142;30;0;0,31;3;17,073;65,041;17,886;2,062;384,65;0;10;"COTES CALCAIRES EST";0;1,17;47,291;37,114;2,418;0;0,034;0,042;-0,955;-0,036;-3,115;0,055;0,168;0,16;-2,786;-0,153;-3,559;0,153;6,979;"COTES CALCAIRES EST";"moyen"
374;"LA PIENNE À MERCY-LE-BAS";"02115675";899457;6923610;92911;2010-05-26;0,17;NA;0,53;5,16;3,76;72;NA;0,77;NA;"";"espacée-régulière";"isolée";NA;"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Pienne";15;22,84;61;121,64;1,178;27,99;1,272;4,771;5,174;0,423;0,259;0,241;11,974;12,457;3,331;5,731;6,47;0,81;0,575;0,51;7,178;3,855;0,735;0,297;0,003;0,166;0,62;0,716;0,125;0,235;0,813;100,362;0,102;0,985;3;0,081;30;10;NA;1;37,179;38,462;24,359;2,11;42,85;0;10;"COTES CALCAIRES EST";0;1,41;3,012;22,752;3,97;0;-0,201;0,071;-0,917;-0,297;-1,167;-0,443;-0,999;0,272;-2,675;-1,248;-1,333;-1,228;7,756;"COTES CALCAIRES EST";"fort"
375;"LE RUISSEAU DE NANHEUL À PIERREPONT";"02115685";898755;6928421;92927;2010-05-26;1,58;NA;0,65;5,4;4,4;75;NA;1,55;NA;"";"espacée-régulière";"isolée";NA;"Station située dans une prairie pâturée et sous couvert forestier en amont";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Nanheul";15;15;25;44,16;0,845;18,263;1,196;4,055;4,417;0,503;0,289;0,258;10,143;82,751;4,592;5,611;6,553;1,188;0,83;0,703;4,928;10,682;11,822;0,467;0,005;0,269;0,886;1,031;0,184;2,678;1,566;101,004;0,961;32,996;4;0,282;30;0;0,552;2;57,143;36,975;5,882;2,01;52,62;0;10;"COTES CALCAIRES EST";0;1,02;5,015;76,256;13,589;0;-0,292;-0,324;0,275;0,035;-0,438;-0,241;-1,454;-1,245;0,801;0,148;-0,5;-0,668;4,816;"COTES CALCAIRES EST";"faible"
394;"BOURBONNE A MONTBELLET ";"06045750";842758;6598949;146679;2010-07-07;0,079;NA;0,6;6,6;4,4;92,4;NA;6,8;NA;"";"espacée-régulière";"espacée-régulière";NA;"La station se situe à l'aval immédiat d'un pont, au sein d'une peupleraie. Le fond est en grande partie concrétionné.";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Bourbonne";14;8,84;28;70,16;1,331;13,603;0,941;3,783;4,029;0,35;0,247;0,221;18,207;2,792;7,645;6,983;8,221;1,579;1,102;0,928;4,581;61,931;1,675;0,656;0,007;0,254;0,981;0,761;0,109;0,223;1,582;100,94;0,069;16,181;3;0,315;28;0;0,325;3;67,308;32,692;0;1,55;34,21;0,06;10;"COTES CALCAIRES EST";0;1,05;1,799;120,008;17,185;0;0,074;-0,358;0,502;0,427;0,979;0,518;0,367;-1,374;1,463;1,794;1,119;1,437;7,554;"COTES CALCAIRES EST";"fort"
396;"LA GROÈME A TERREFONDREE 1";"03006271";839635;6738130;93940;2010-05-27;0,113;NA;0,5;4,4;3,2;62;NA;3,55;NA;"";"semi-continue";"isolée";NA;"2 bâtonnets non retrouvés.";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Groeme";15;5;11;34;1,438;6,519;0,607;2,924;3,085;0,305;0,205;0,193;10,24;9,38;2,163;4,179;4,636;0,739;0,519;0,464;5,738;16,154;0,724;0,287;0,003;0,103;0,487;0,843;0,202;0,352;0,746;100,331;0,159;6,24;4;0,045;30;22;0,271;3;26,374;51,648;21,978;2,07;29,87;0;10;"COTES CALCAIRES EST";0;1,12;3,789;131,954;31,578;0;-0,393;-0,12;-1,416;-0,299;0,31;-0,665;-1,957;-0,461;-4,129;-1,256;0,354;-1,844;10,002;"COTES CALCAIRES EST";"tres fort"
