"Identifiant opération";"Localisation station de mesure";"Code station";"X";"Y";"Identifiant point prélèvement";"Date réalisation";"Débit mesuré (m3/s)";"Débit station hydro (m3/s)";"Distance interpoint (m)";"Largeur plein bord évaluée (m)";"Largeur mouillée évaluée (m)";"Longueur réelle opération (m)";"Longueur théorique opération (m)";"Pente ligne d'eau (‰)";"Pente ligne d'eau évaluée";"Description habitat marginaux";"Continuité ripisylve rive gauche";"Continuité ripisylve rive droite";"Nom réseau de mesure";"Observations";"Version protocole";"Structure responsable";"Cours d'eau";"Nombre transect";"D16 (mm)";"D50 (mm)";"D84 (mm)";"Indice Folk et Ward";"Indice Fredle";"Surface mouillée Q1 (m2)";"Largeur mouillée Q1 (m)";"Périmètre mouillé Q1 (m)";"Profondeur maximum Q1 (m)";"Profondeur moyenne Q1 (m)";"Rayon hydraulique Q1";"Rapport largeur/Profondeur Q1";"Coefficient rugosité";"Surface mouillée Qb (m2)";"Largeur mouillée Qb (m)";"Périmètre mouillé Qb (m)";"Profondeur maximum Qb (m)";"Profondeur moyenne Qb (m)";"Rayon hydraulique Qb";"Rapport largeur/Profondeur Qb";"Force tractrice Qb  (N/m2)";"Débit plein bord (m3/s)";"Ecart type cote point";"Coefficient variation cote point";"Ecart type cote point en eau";"Coefficient variation cote point en eau";"Ecart type largeur mouillée Qb";"Coefficient variation largeur mouillée Qb";"Vitesse moyenne Qb (m/s)";"Ligne énergie Qb (m)";"Cote ligne énergie Qb";"Nombre de Froude Qb";"Puissance spécifique Qb (w/m2)";"Nombre de mouille";"Profondeur moyenne des mouilles (m)";"Nombre de berges total";"Nombre de berges artificialisées";"Score ripisylve";"Classe ripisylve";"% fines";"% graviers-cailloux";"% blocs-rochers";"Indice de Shannon granulo";"Surface BV (km2)";"Proportion de roche imperméable BV";"Code HER ou DOM dominant";"Nom HER ou DOM dominant";"Type DOM";"Coefficient de sinuosité";"Débit Q01 RHT (m3/s)";"Puissance Q01 RHT (w/m)";"Puissance spécifique Q01 RHT (w/m2)";"Station référence modèle";"Résidu modèle Largeur mouillée Qb";"Résidu modèle rapport largeur/profondeur Qb";"Résidu modèle profondeur mouilles";"Résidu modèle profondeur Qb";"Résidu modèle pente ligne d'eau";"Résidu modèle surface mouillée Qb";"Résidu standardisé modèle largeur mouillée Qb";"Résidu standardisé modèle rapport largeur/profondeur Qb";"Résidu standardisé modèle profondeur mouilles";"Résidu standardisé modèle profondeur Qb";"Résidu standardisé modèle pente ligne d'eau";"Résidu standardisé modèle surface mouillée Qb";"IMG";"Modèle référence IMG";"Classe écart IMG"
405;"BEC D'ABLE à SULLY-SUR-LOIRE";"04049625";649256;6740396;117277;2010-05-19;0,095;NA;0,79;8,23;5,55;115;NA;1;NA;"";"isolée";"bosquets éparses";NA;"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Bec d'able";15;7,84;22;45,16;1,175;11,153;0,696;4,763;4,976;0,296;0,146;0,14;22,271;15,997;11,19;9,073;10,487;1,785;1,262;1,087;5,197;10,66;5,983;0,676;0,007;0,141;0,924;2,381;0,262;0,546;1,8;101,447;0,155;6,793;2;0,482;30;2;0,058;1;78,723;19,149;2,128;1,144;91;0,836;20;"DEPOTS ARGILO SABLEUX";0;1,02;4,123;40,447;4,458;0;-0,031;-0,07;1,109;0,05;-0,412;0,017;-0,35;-0,337;0,986;0,044;-0,851;-0,146;2,714;"Plaine/collinéen détritique";"tres faible"
575;"BEUVRON à CHAUMONT-SUR-THARONNE";"04052220";618773;6720045;117486;2011-06-21;0,187;NA;1,2;12,9;8,36;181;NA;0,89;NA;"";"continue";"continue";NA;"6 des 8 batonnets ont été retirés";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Beuvron";15;5;9;20,16;1,047;6,756;1,721;6,48;6,748;0,49;0,276;0,26;19,127;8,953;10,083;9,714;10,612;1,47;1,05;0,959;6,886;8,374;2,619;0,583;0,006;0,231;0,831;1,467;0,151;0,263;1,474;100,903;0,082;2,398;4;0,282;30;0;NA;2;85,246;14,754;0;0,91;381,79;0,711;20;"DEPOTS ARGILO SABLEUX";0;1,09;16,346;142,715;14,692;0;-0,459;0,111;0,402;-0,537;0,341;-1,009;-1,926;0,248;0,278;-1,479;0,333;-2,04;6,305;"Plaine/collinéen détritique";"moyen"
577;"NEANT à SAINT-VIATRE";"04052350";622072;6716979;117505;2011-06-13;0,093;NA;0,9;7,56;6,23;106;NA;0,094;NA;"";"continue";"continue";NA;"pas de wolmman, granulométrie uniquement sable. 1 seul radier en limite maont de la station donc une seule pose de 4 batonnets";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Neant";15;NA;NA;NA;NA;NA;1,58;6,405;6,608;0,386;0,246;0,238;18,589;15,822;6,118;8,064;8,721;1,008;0,764;0,703;8,128;0,649;0,742;0,378;0,004;0,126;0,499;1,138;0,141;0,124;1,009;100,617;0,046;0,086;4;0,079;30;0;NA;4;90,909;9,091;0;0,632;67,36;0,563;20;"DEPOTS ARGILO SABLEUX";0;1,03;3,016;2,781;0,345;0;-0,045;0,399;-0,662;-0,439;-2,959;-0,393;-0,401;1,181;-0,786;-1,226;-4,854;-0,903;9,35;"Plaine/collinéen détritique";"tres fort"
716;"LE PUISEAUX A NOGENT-SUR-VERNISSON 1";"03052338";678554;6751036;98622;2010-05-13;0,043;NA;0,46;6,1;3,2;85,4;NA;2,01;NA;"";"continue";"continue";NA;"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Puiseaux";15;9,836;20;50,832;1,14;12,097;0,309;2,795;2,858;0,172;0,11;0,107;18,019;13,814;4,753;5,998;6,745;1,133;0,796;0,708;5,288;13,959;2,338;0,451;0,004;0,061;0,544;0,883;0,147;0,499;1,146;100,888;0,179;7,848;4;0,053;30;0;0,866;2;50;50;0;1,633;54,21;0,07;20;"DEPOTS ARGILO SABLEUX";0;1,01;3,234;63,768;10,632;0;-0,265;-0,016;-1,04;-0,263;-0,028;-0,506;-1,213;-0,162;-1,163;-0,767;-0,247;-1,111;4,663;"Plaine/collinéen détritique";"faible"
859;"LA LYS CANALISÉE À WERVICQ (59)";"01059000";703028;7075554;165971;2012-06-13;NA;NA;7;71;60;1000;NA;0;NA;"";"bosquets éparses";"bosquets éparses";NA;"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Lys canalisee";15;NA;NA;NA;NA;NA;153,113;74,4;75,668;4,09;2,17;2,121;18,313;NA;376,016;125,874;128,141;6,483;3,358;3,268;19,536;0;NA;1,982;0,02;1,393;0,656;65,392;0,52;NA;NA;NA;NA;NA;4;0,267;30;23;NA;NA;78,322;0;21,678;1,065;2861,35;0,429;20;"DEPOTS ARGILO SABLEUX";0;1,08;0;0;0;0;1,405;1,012;0,105;0,395;NA;1,314;4,928;3,168;-0,018;0,942;NA;2,247;NA;"Plaine/collinéen détritique";NA
893;"COSSON à LA FERTE-SAINT-CYR";"04052750";591970;6726348;117598;2012-05-24;2,1;NA;2;19;14,06;266;NA;0,65;NA;"";"isolée";"espacée-régulière";NA;"Pas de pose de bâtonnets /pas de Woolman. Cours d'eau de Sologne/ sable uniquement.";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Cosson";15;NA;NA;NA;NA;NA;6,01;13,138;13,439;0,702;0,465;0,453;20,412;23,244;24,194;17,816;18,714;1,859;1,368;1,301;9,718;8,297;17,089;0,768;0,008;0,222;0,469;3,069;0,172;0,723;1,887;101,098;0,198;6,314;4;0,092;30;1;0,191;1;76,768;17,172;6,061;1,157;616,78;0,618;20;"DEPOTS ARGILO SABLEUX";0;1;18,958;120,886;6,785;0;-0,019;0,421;-0,78;-0,433;0,318;-0,442;-0,306;1,255;-0,904;-1,21;0,297;-0,994;4,966;"Plaine/collinéen détritique";"faible"
901;"BOURILLON à MARCILLY-EN-VILLETTE";"04052650";635001;6739631;117564;2012-05-14;0,072;NA;0,5;7,3;3,6;102;NA;0,49;NA;"";"continue";"continue";NA;"pose de batonnets sur 1 seul radier.";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Bourillon";15;20;35;91,6;1,168;24,212;0,61;3,023;3,281;0,341;0,19;0,174;11,181;17,117;3,514;6,002;6,803;1,003;0,604;0,526;6,129;2,526;0,867;0,404;0,004;0,153;0,75;2,162;0,36;0,265;1,006;100,64;0,11;0,779;4;0,259;30;0;0,65;4;96;4;0;0,828;25,9;0,379;20;"DEPOTS ARGILO SABLEUX";0;1,05;1,809;8,696;1,449;0;-0,009;0,184;0,638;-0,183;-1,887;-0,333;-0,27;0,484;0,514;-0,56;-3,17;-0,792;5,79;"Plaine/collinéen détritique";"faible"
968;"OUSSANCE à INGRANNES";"04050100";642350;6766462;117317;2012-05-15;0,054;NA;0,45;8,2;3,2;112;NA;1,26;NA;"";"continue";"continue";NA;"pas de radier pas de woolman/ pas de pose de bâtonnets.";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Oussance";15;NA;NA;NA;NA;NA;0,807;3,042;3,288;0,416;0,267;0,241;8,313;4,868;6,279;7,582;8,892;1,379;0,855;0,728;5,618;8,994;0,878;0,481;0,005;0,189;0,717;1,725;0,228;0,144;1,38;100,892;0,05;1,55;4;0,235;30;3;0,469;1;100;0;0;0,523;22,45;0;20;"DEPOTS ARGILO SABLEUX";0;1;0,458;5,661;0,747;0;0,274;0,107;0,559;0,175;-1,03;0,34;0,771;0,235;0,436;0,37;-1,822;0,449;4,083;"Plaine/collinéen détritique";"tres faible"
1219;"VAVRET à LIGNAC";"04096200";561601;6595811;72372;2013-09-13;0,004;NA;0,3;3,8;2,2;41,3;NA;7,38;NA;"";"semi-continue";"semi-continue";"Réseau de référence pérenne de la qualité des cours d'eau du bassin  Loire, cours d'eau côtiers vendéens et bretons";"WOOLMAN pas de  granulométrie relevé sur le terrain car substrat entièrement  sablonneux. pose de batonnets sur un seul radier";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Vavret";15;NA;NA;NA;NA;NA;0,41;2,274;2,441;0,271;0,158;0,146;10,542;0,409;3,945;4,828;5,829;1,156;0,822;0,678;4,252;49,083;0,107;0,418;0,004;0,147;0,838;0,747;0,155;0,028;1,156;100,689;0,01;1,645;4;0,134;30;0;0,39;3;100;0;0;0,203;26,82;0,492;20;"DEPOTS ARGILO SABLEUX";0;1,25;1,512;109,465;22,672;0;-0,239;-0,184;-0,025;-0,05;0,846;-0,239;-1,114;-0,709;-0,148;-0,215;1,126;-0,619;3,932;"Plaine/collinéen détritique";"tres faible"
1489;"L'HUILLARD A CHEVILLON-SUR-HUILLARD 1";"03052656";670697;6762548;78136;2012-10-30;0,166;NA;0,54;4,3;3,8;60;NA;0,66;NA;"";"continue";"continue";"Réseau de gestion des eaux superficielles de la DSAM";"Pont en amont de la station";"2009-2016";"ASCONIT CONSULTANTS";"Huillard";15;2,84;24;1025;3,639;14,886;0,697;3,628;3,734;0,276;0,191;0,185;14,727;28,496;2,275;4,686;5,011;0,647;0,488;0,455;7,421;2,948;0,986;0,255;0,003;0,102;0,532;0,751;0,16;0,445;0,657;100,361;0,205;1,394;2;0,101;30;0;0,469;4;54,839;39,785;5,376;2,028;175,93;0;20;"DEPOTS ARGILO SABLEUX";0;1,18;6,236;40,376;8,617;0;-0,92;0,24;-0,529;-1,146;-0,427;-2;-3,619;0,667;-0,653;-3,06;-0,875;-3,868;12,743;"Plaine/collinéen détritique";"tres fort"
1731;"LA TREILLE A LA COUR-MARIGNY 1";"03052825";669700;6754945;78138;2012-10-29;0,047;NA;0,37;3;2,6;42;NA;2,74;NA;"";"continue";"continue";"Réseau de gestion des eaux superficielles de la DSAM";"";"2009-2016";"ASCONIT CONSULTANTS";"Treille";15;13,84;24,5;39,32;0,929;17,374;0,292;1,995;2,118;0,207;0,146;0,137;10,725;11,535;2,151;2,936;3,832;0,929;0,734;0,562;3,174;15,117;0,885;0,379;0,004;0,072;0,504;0,213;0,073;0,414;0,938;100,674;0,155;8,142;2;0,091;30;1;0,65;2;42,857;56,044;1,099;2,017;22,65;0,038;20;"DEPOTS ARGILO SABLEUX";0;1;1,006;27,041;9,209;0;-0,677;-0,465;-0,386;-0,222;-0,247;-0,737;-2,727;-1,617;-0,51;-0,661;-0,592;-1,538;7,646;"Plaine/collinéen détritique";"fort"
1745;"LA BÉZONDE A LADON 1";"03052450";663420;6766635;78134;2013-09-02;0,052;NA;0,45;6,1;3,1;85;NA;0,09;NA;"";"continue";"continue";"Réseau de gestion des eaux superficielles de la DSAM";"absence de radier sur la station. mesures granulométriques limitées à 50 car radier aval station trop petit.";"2009-2016";"ASCONIT CONSULTANTS";"Bezonde";15;4,84;33;133,44;2,712;7,326;0,664;2,985;3,191;0,291;0,228;0,21;11,767;23,326;4,513;5,073;5,998;1,235;0,893;0,754;4,137;0,666;0,827;0,487;0,005;0,1;0,435;0,357;0,07;0,184;1,236;100,942;0,062;0,145;5;0,04;30;0;0,144;4;67,708;32,292;0;1,401;41,2;0;20;"DEPOTS ARGILO SABLEUX";0;1,04;1,833;1,618;0,319;0;-0,338;-0,242;-1,293;-0,102;-3,3;-0,381;-1,479;-0,895;-1,416;-0,349;-5,391;-0,881;10,412;"Plaine/collinéen détritique";"tres fort"
1747;"LE SOLIN A CHALETTE-SUR-LOING 1";"03052895";675495;6762890;81770;2013-09-03;0,062;NA;1,7;12;11,6;168;NA;0,095;NA;"";"continue";"continue";"Réseau de gestion des eaux superficielles de la DSAM";"chenal lentique stagnant et rectiligne";"2009-2016";"ASCONIT CONSULTANTS";"Solin";15;NA;NA;NA;NA;NA;4,773;8,886;9,231;0,7;0,544;0,522;12,962;2,054;13,108;11,034;11,954;1,53;1,195;1,099;7,262;1,027;0,28;0,629;0,006;0,183;0,334;1,273;0,115;0,021;1,53;100,822;0,006;0,024;2;0,131;30;0;0,65;2;80,233;18,605;1,163;1,846;117,89;0,012;20;"DEPOTS ARGILO SABLEUX";0;1,04;5,091;4,755;0,431;0;0,075;0,247;-0,227;-0,175;-2,607;0,009;0,039;0,689;-0,35;-0,54;-4,3;-0,161;6,079;"Plaine/collinéen détritique";"moyen"
1793;"LE MORTEAU A LE NOUVION-EN-THIERACHE 1";"03129380";754064;6990375;78483;2013-07-24;0,065;NA;0,38;3,916;2,686;54,8;NA;6,147;NA;"";"isolée";"bosquets éparses";"Réseau de gestion des eaux superficiellesde la DVO";"station dans prairie pâturée non clôturée
berges souvent piétinées";"2009-2016";"ASCONIT CONSULTANTS";"Morteau";15;17;28,5;49,32;0,722;19,248;0,835;2,907;3,236;0,455;0,274;0,24;8,688;2,57;2,644;4,193;4,919;0,946;0,637;0,535;4,781;32,264;0,351;0,377;0,004;0,22;0,741;0,891;0,213;0,142;0,947;100,324;0,059;5,271;4;0,28;30;0;0,058;1;9,709;90,291;0;1,403;20,95;0;20;"DEPOTS ARGILO SABLEUX";0;1,03;1,076;64,885;15,473;0;-0,294;-0,05;0,742;-0,183;0,513;-0,481;-1,318;-0,272;0,618;-0,56;0,603;-1,065;4,437;"Plaine/collinéen détritique";"tres faible"
1803;"LA MENOTTE A MONTEREAU 1";"03052823";668894;6751788;84497;2014-08-04;0,008;NA;0,28;3,1;1,95;43,4;NA;0,645;NA;"";"continue";"continue";"Réseau de gestion des eaux superficielles de la DSAM";"";"2009-2016";"ASCONIT CONSULTANTS";"Menotte";15;NA;NA;NA;NA;NA;0,306;1,875;2,018;0,239;0,164;0,145;9,413;3,733;1,992;3,492;4,134;0,857;0,575;0,481;4,197;3,046;0,116;0,334;0,003;0,131;0,781;0,559;0,16;0,059;0,858;100,604;0,025;0,215;2;0,226;30;0;0,866;2;100;0;0;1,116;20,32;0,024;20;"DEPOTS ARGILO SABLEUX";0;1;0,755;4,777;1,368;0;-0,466;-0,178;0,531;-0,273;-1,76;-0,744;-1,951;-0,687;0,407;-0,794;-2,969;-1,551;8,36;"Plaine/collinéen détritique";"fort"
